text,intent,lang_style
Ambulance ko call karo.,emergency_alert,roman_urdu
Samne kon khara hai?,social_verification,roman_urdu
Volume up please.,voice_control,en
Samne kon khara hai?,social_verification,roman_urdu
Yeh kya cheez hai?,object_id,roman_urdu
Expiry date parh ker sunao.,read_text,roman_urdu
Where is the Mayonnaise?,start_navigation,en
Volume up please.,voice_control,en
Pantry mein Ponds para hai?,check_pantry,roman_urdu
Take me to the Lipton aisle.,start_navigation,en
Aisle 1 ki taraf chalo.,start_navigation,roman_urdu
Battery kitni reh gayi hai?,system_status,roman_urdu
Mujhe Dalda tak le jao.,start_navigation,roman_urdu
Expiry date parh ker sunao.,read_text,roman_urdu
Take me to the Rio aisle.,start_navigation,en
Battery kitni reh gayi hai?,system_status,roman_urdu
Volume up please.,voice_control,en
Ghar mein Sunsilk check karo kitna hai.,check_pantry,roman_urdu
"Mujhe chot lagi hai, help!",emergency_alert,roman_urdu
Expiry date parh ker sunao.,read_text,roman_urdu
Ahista bolo.,voice_control,roman_urdu
"Help me, I fell down!",emergency_alert,en
the frozen food section ki taraf chalo.,start_navigation,roman_urdu
Expiry date parh ker sunao.,read_text,roman_urdu
Take me to the Habib Cooking Oil aisle.,start_navigation,en
What is this in my hand?,object_id,en
Yeh kya cheez hai?,object_id,roman_urdu
What is this in my hand?,object_id,en
Rio kahan rakha hai?,start_navigation,roman_urdu
"Mujhe chot lagi hai, help!",emergency_alert,roman_urdu
Iska price kya hai?,read_text,roman_urdu
Ponds kahan rakha hai?,start_navigation,roman_urdu
Take me to the Lux Soap aisle.,start_navigation,en
Ahista bolo.,voice_control,roman_urdu
Ghar mein Sooper check karo kitna hai.,check_pantry,roman_urdu
"Help me, I fell down!",emergency_alert,en
"Help me, I fell down!",emergency_alert,en
Go to the exit.,start_navigation,en
Ghar mein Dalda check karo kitna hai.,check_pantry,roman_urdu
Mujhe Gala tak le jao.,start_navigation,roman_urdu
Volume up please.,voice_control,en
Mahol kaisa hai?,describe_scene,roman_urdu
"Mujhe chot lagi hai, help!",emergency_alert,roman_urdu
"Mujhe chot lagi hai, help!",emergency_alert,roman_urdu
Yeh kya cheez hai?,object_id,roman_urdu
Ahista bolo.,voice_control,roman_urdu
Time kya hua hai?,system_status,roman_urdu
the fruit section ki taraf chalo.,start_navigation,roman_urdu
